1,"照明","light","照明の制御","2022-05-05 04:27:31","2022-05-05 04:27:31"
2,"扇風機","electric-fan","扇風機の制御","2022-05-05 04:27:31","2022-05-05 04:27:31"
3,"冷房","cooler","冷房の制御","2022-05-05 04:28:04","2022-05-05 04:28:04"
4,"暖房","heater","暖房の制御","2022-05-05 04:28:04","2022-05-05 04:28:04"
5,"除湿","dry","除湿の制御","2022-05-05 04:28:24","2022-05-05 04:28:24"
